Bereich	Wort	Silben	Deutsch	Gebrauch
Militär	grungar	grun·gar	Bergknecht	Morgornische Kriegerkaste für Gebirge, Engstellen und unterirdische Kampfplätze; grun + gar.
Militär	varor	va·ror	Hüter	Morgornische Kriegerkaste persönlich verpflichteter Beschützer anvertrauter Menschen, Orte und Dinge; var + -or.
Militär	kuralan	ku·ra·lan	Hirte; Tierhüterkaste	Morgornische Kriegerkaste für Herden, Tiere, Wildnis und abgelegene Nutzgebiete. Aus Kural, Schaf, und -an; der Kastenname umfasst auch andere Tiere.
Militär	toran	to·ran	Grenzer	Morgornische Kriegerkaste für Pässe, Außengebiete und schwer zugängliche Grenzräume; tor + -an.
Militär	bragan	bra·gan	Stürmer	Morgornische Kriegerkaste der Stoßkrieger und Widderreiter; brag + -an. Der Name gilt für berittene und abgesessene Kämpfer.
Militär	rhean	rhe·an	Diener Rheas	Morgornische Kaste gesalbter Ritter und Geistlicher im Dienst Rheas. Aus Rhea + -an mit zusammengezogenem a; gesprochen RE·an.
Militär	falgar	fal·gar	Luntierer	Morgornische Kriegerkaste der Schwarzpulverschützen, Tüftler und Alchemisten; fal + gar. Feuer bezeichnet hier Lunte und Pulver.
Kleine Wörter und Zahlen	mi	mi	ich	Erste Person der Einzahl.
Kleine Wörter und Zahlen	ti	ti	du	Direkte Anrede einer einzelnen Person.
Kleine Wörter und Zahlen	da	da	er oder sie	Dritte Person der Einzahl, ohne Geschlechtsunterscheidung.
Kleine Wörter und Zahlen	mir	mir	wir	Sprecher mit seiner Gruppe.
Kleine Wörter und Zahlen	tir	tir	ihr	Direkte Anrede mehrerer Personen.
Kleine Wörter und Zahlen	ri	ri	sie, Mehrzahl	Mehrere Personen außerhalb der Sprechergruppe.
Kleine Wörter und Zahlen	ir	ir	Mehrzahlzeichen	Steht vor dem Hauptwort: ir dora · Häuser.
Kleine Wörter und Zahlen	na	na	von oder aus	Bezeichnet Zugehörigkeit oder Herkunft.
Kleine Wörter und Zahlen	vi	vi	mit	Bezeichnet Begleitung und gemeinsame Handlung.
Kleine Wörter und Zahlen	an	an	zu oder für	Bezeichnet Empfänger oder Ziel.
Kleine Wörter und Zahlen	ne	ne	nicht	Verneint die unmittelbar folgende Tätigkeit.
Kleine Wörter und Zahlen	ke	ke	Fragezeichen im Satz	Leitet eine Entscheidungsfrage ein.
Kleine Wörter und Zahlen	do	do	Vergangenheitszeichen	Steht vor dem unveränderten Verb.
Kleine Wörter und Zahlen	va	va	Zukunftszeichen	Steht vor dem unveränderten Verb.
Kleine Wörter und Zahlen	u	u	und	Verbindet gleichrangige Wörter oder Aussagen.
Kleine Wörter und Zahlen	e	e	ja	Bejahende Antwort; klar gesprochenes e.
Kleine Wörter und Zahlen	no	no	nein	Verneinende Antwort auf eine Frage.
Kleine Wörter und Zahlen	nul	nul	null	Kein gezähltes Stück; leere Menge.
Kleine Wörter und Zahlen	en	en	eins	Ein einzelnes Stück.
Kleine Wörter und Zahlen	du	du	zwei	Zahlwort; ti bleibt das persönliche du.
Kleine Wörter und Zahlen	tri	tri	drei	Zahlwort vor dem Hauptwort.
Kleine Wörter und Zahlen	ket	ket	vier	Zahlwort vor dem Hauptwort.
Kleine Wörter und Zahlen	pen	pen	fünf	Zahlwort vor dem Hauptwort.
Kleine Wörter und Zahlen	sek	sek	sechs	Zahlwort vor dem Hauptwort.
Kleine Wörter und Zahlen	sen	sen	sieben	Zahlwort vor dem Hauptwort.
Kleine Wörter und Zahlen	ok	ok	acht	Zahlwort vor dem Hauptwort.
Kleine Wörter und Zahlen	nav	nav	neun	Zahlwort vor dem Hauptwort.
Kleine Wörter und Zahlen	dek	dek	zehn	Zahlwort vor dem Hauptwort.
